State,Year,Energy_type,Generation_MU,Capacity_MW,Potential_MW,Avg_Generation_MW,CUF,Potential_Capacity_Gap_MW,Generation_Potential_Utilization
Chandigarh,2018,Solar,7.91,25.20,0.00,0.9023972603,0.03580941509,-25.20,0.00%
Arunachal Pradesh,2008,Small Hydro,7.88,45.24,0.00,0.8996575342,0.01988632923,-45.24,0.00%
Karnataka,2010,Solar,7.74,6.00,0.00,0.8837899543,0.1472983257,-6.00,0.00%
Karnataka,2011,Solar,7.74,6.00,0.00,0.8837899543,0.1472983257,-6.00,0.00%
Andhra Pradesh,2014,Waste,7.42,50.66,0.00,0.8469178082,0.01671768275,-50.66,0.00%
Rajasthan,2011,Solar,7.20,5.15,0.00,0.8221461187,0.1596400231,-5.15,0.00%
Tamil Nadu,2012,Solar,7.19,15.05,0.00,0.8206621005,0.05452904322,-15.05,0.00%
Tripura,2019,Solar,7.14,5.09,"2,080.00",0.8148401826,0.1600864799,"2,074.91",0.04%
Tripura,2017,Solar,6.89,5.09,"2,080.00",0.7865296804,0.1545244952,"2,074.91",0.04%
Rajasthan,2017,Small Hydro,6.76,23.85,57.00,0.7712328767,0.03233680825,33.15,1.35%
Tripura,2018,Solar,6.71,5.09,"2,080.00",0.7659817352,0.1504875708,"2,074.91",0.04%
Gujarat,2011,Solar,6.69,5.00,0.00,0.7638127854,0.1527625571,-5.00,0.00%
Maharashtra,2011,Solar,6.62,4.00,0.00,0.7560502283,0.1890125571,-4.00,0.00%
Chhattisgarh,2015,Solar,6.41,7.60,"18,270.00",0.7317351598,0.09628094208,"18,262.40",0.00%
Bihar,2016,Solar,6.39,5.10,0.00,0.7296803653,0.1430745814,-5.10,0.00%
Andhra Pradesh,2011,Waste,6.32,43.16,0.00,0.7215753425,0.01671861312,-43.16,0.00%
Andhra Pradesh,2012,Waste,6.32,43.16,0.00,0.7215753425,0.01671861312,-43.16,0.00%
Andhra Pradesh,2013,Waste,6.32,43.16,0.00,0.7215753425,0.01671861312,-43.16,0.00%
Ladakh,2014,Small Hydro,6.28,3.23,0.00,0.7172816836,0.2222789142,-3.23,0.00%
West Bengal,2016,Solar,6.28,7.77,0.00,0.7163242009,0.09216729296,-7.77,0.00%
Tripura,2015,Solar,6.05,5.00,"2,080.00",0.6909817352,0.138196347,"2,075.00",0.03%
Tripura,2016,Solar,6.05,5.00,0.00,0.6909817352,0.138196347,-5.00,0.00%
Chhattisgarh,2014,Solar,5.87,7.10,0.00,0.6698630137,0.09434690334,-7.10,0.00%
Uttarakhand,2016,Solar,5.87,41.15,0.00,0.6697488584,0.01627777029,-41.15,0.00%
West Bengal,2015,Solar,5.82,7.21,"6,260.00",0.6647260274,0.09219501073,"6,252.79",0.01%
Delhi,2017,Solar,5.81,40.27,"2,050.00",0.6627853881,0.01645853956,"2,009.73",0.03%
Andaman And Nicobar Islands,2020,Small Hydro,5.70,5.25,7.27,0.6511415525,0.1240269624,2.02,8.96%
West Bengal,2014,Solar,5.69,7.05,0.00,0.65,0.09219858156,-7.05,0.00%
Ladakh,2012,Small Hydro,5.56,2.86,0.00,0.6346281814,0.2222787183,-2.86,0.00%
Ladakh,2013,Small Hydro,5.56,2.86,0.00,0.6346281814,0.2222787183,-2.86,0.00%
Ladakh,2010,Small Hydro,5.51,2.83,0.00,0.6287953441,0.2222792425,-2.83,0.00%
Ladakh,2011,Small Hydro,5.51,2.83,0.00,0.6287953441,0.2222792425,-2.83,0.00%
Puducherry,2020,Solar,5.44,5.51,0.00,0.62043379,0.1126014138,-5.51,0.00%
Jharkhand,2020,Small Hydro,5.43,4.05,228.00,0.6197488584,0.1530244095,223.95,0.27%
