State,Year,Energy_type,Generation_MU,Capacity_MW,Potential_MW,Avg_Generation_MW,CUF,Potential_Capacity_Gap_MW,Generation_Potential_Utilization
Arunachal Pradesh,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2015,Biomass,23.12,0.00,0.00,2.63869863,0,0,0.00%
Assam,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Assam,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Assam,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2014,Biomass,18.15,0.00,0.00,2.072260274,0,0,0.00%
Bihar,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Bihar,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Bihar,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2013,Biomass,12.61,0.00,0.00,1.439726027,0,0,0.00%
Chandigarh,2008,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2017,Biomass,12.16,0.00,0.00,1.388127854,0,0,0.00%
Chhattisgarh,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Chhattisgarh,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Chhattisgarh,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2012,Biomass,8.48,0.00,0.00,0.9676940639,0,0,0.00%
Delhi,2008,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2008,Biomass,0.21,0.00,0.00,0.02363013699,0,0,0.00%
Goa,2008,Small Hydro,0.00,0.05,0.00,0,0,-0.05,0.00%
Goa,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Goa,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Goa,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2009,Biomass,0.21,0.00,0.00,0.02363013699,0,0,0.00%
Gujarat,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2010,Biomass,0.21,0.00,0.00,0.02363013699,0,0,0.00%
Haryana,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2011,Biomass,0.21,0.00,0.00,0.02363013699,0,0,0.00%
Himachal Pradesh,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2015,Biomass,0.00,65.30,350.00,0,0,284.70,0.00%
Jammu And Kashmir,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2017,Biomass,0.00,65.30,350.00,0,0,284.70,0.00%
Jharkhand,2008,Small Hydro,0.00,4.05,0.00,0,0,-4.05,0.00%
Jharkhand,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2019,Biomass,0.00,65.30,350.00,0,0,284.70,0.00%
Karnataka,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2008,Waste,0.00,1.00,0.00,0,0,-1.00,0.00%
Gujarat,2020,Biomass,0.00,77.30,350.00,0,0,272.70,0.00%
Kerala,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2018,Biomass,0.00,65.30,50.00,0,0,-15.30,0.00%
Ladakh,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2008,Biomass,0.00,0.50,0.00,0,0,-0.50,0.00%
Lakshadweep,2008,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2009,Biomass,0.00,0.50,0.00,0,0,-0.50,0.00%
Gujarat,2010,Biomass,0.00,0.50,0.00,0,0,-0.50,0.00%
Maharashtra,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2011,Biomass,0.00,0.50,0.00,0,0,-0.50,0.00%
Manipur,2008,Small Hydro,0.00,5.45,0.00,0,0,-5.45,0.00%
Manipur,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Manipur,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Manipur,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2012,Biomass,0.00,20.50,0.00,0,0,-20.50,0.00%
Meghalaya,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Meghalaya,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Meghalaya,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2013,Biomass,0.00,30.50,0.00,0,0,-30.50,0.00%
Mizoram,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Mizoram,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Mizoram,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2014,Biomass,0.00,43.90,0.00,0,0,-43.90,0.00%
Nagaland,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2016,Biomass,0.00,65.30,0.00,0,0,-65.30,0.00%
Odisha,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Odisha,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2018,Biomass,0.00,0.00,"1,375.00",0,0,"1,375.00",0.00%
Puducherry,2008,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2008,Solar,0.00,0.02,0.00,0,0,-0.02,0.00%
Puducherry,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2015,Biomass,0.00,0.00,"1,333.00",0,0,"1,333.00",0.00%
Punjab,2008,Waste,0.00,9.25,0.00,0,0,-9.25,0.00%
Punjab,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2017,Biomass,0.00,0.00,"1,333.00",0,0,"1,333.00",0.00%
Rajasthan,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2019,Biomass,0.00,0.00,"1,333.00",0,0,"1,333.00",0.00%
Sikkim,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2020,Biomass,0.00,0.00,"1,333.00",0,0,"1,333.00",0.00%
Tamil Nadu,2008,Waste,0.00,4.25,0.00,0,0,-4.25,0.00%
Haryana,2019,Biomass,339.05,0.00,0.00,38.70479452,0,0,0.00%
Telangana,2008,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2018,Biomass,285.76,0.00,0.00,32.62100457,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2008,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2020,Biomass,281.47,0.00,0.00,32.13093607,0,0,0.00%
Tripura,2008,Solar,0.00,0.00,0.00,0,0,0,0.00%
Tripura,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Tripura,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2013,Biomass,235.55,0.00,0.00,26.88881279,0,0,0.00%
Uttar Pradesh,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2014,Biomass,235.55,0.00,0.00,26.88881279,0,0,0.00%
Uttarakhand,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Uttarakhand,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2015,Biomass,235.55,0.00,0.00,26.88881279,0,0,0.00%
West Bengal,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
West Bengal,2008,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2016,Biomass,235.55,0.00,0.00,26.88881279,0,0,0.00%
Andaman And Nicobar Islands,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2017,Biomass,191.04,0.00,0.00,21.80821918,0,0,0.00%
Haryana,2011,Biomass,186.15,0.00,0.00,21.24988584,0,0,0.00%
Arunachal Pradesh,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Arunachal Pradesh,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2012,Biomass,186.15,0.00,0.00,21.24988584,0,0,0.00%
Assam,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Assam,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Assam,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2010,Biomass,40.56,0.00,0.00,4.629908676,0,0,0.00%
Bihar,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Bihar,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Bihar,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2008,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2009,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2009,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Chhattisgarh,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Chhattisgarh,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Chhattisgarh,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2015,Biomass,0.00,96.40,350.00,0,0,253.60,0.00%
Delhi,2009,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2017,Biomass,0.00,96.40,350.00,0,0,253.60,0.00%
Goa,2009,Small Hydro,0.00,0.05,0.00,0,0,-0.05,0.00%
Goa,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Goa,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Goa,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2019,Biomass,0.00,121.40,350.00,0,0,228.60,0.00%
Gujarat,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2020,Biomass,0.00,205.66,350.00,0,0,144.34,0.00%
Haryana,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2018,Biomass,0.00,121.40,100.00,0,0,-21.40,0.00%
Himachal Pradesh,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2010,Biomass,0.00,7.80,0.00,0,0,-7.80,0.00%
Jammu And Kashmir,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2011,Biomass,0.00,35.80,0.00,0,0,-35.80,0.00%
Jharkhand,2009,Small Hydro,0.00,4.05,0.00,0,0,-4.05,0.00%
Jharkhand,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2012,Biomass,0.00,35.80,0.00,0,0,-35.80,0.00%
Karnataka,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2009,Waste,0.00,1.00,0.00,0,0,-1.00,0.00%
Haryana,2013,Biomass,0.00,45.30,0.00,0,0,-45.30,0.00%
Kerala,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2014,Biomass,0.00,45.30,0.00,0,0,-45.30,0.00%
Ladakh,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2016,Biomass,0.00,96.40,0.00,0,0,-96.40,0.00%
Lakshadweep,2009,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2015,Biomass,0.00,0.00,142.00,0,0,142.00,0.00%
Himachal Pradesh,2017,Biomass,0.00,0.00,142.00,0,0,142.00,0.00%
Maharashtra,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2018,Biomass,0.00,0.00,142.00,0,0,142.00,0.00%
Manipur,2009,Small Hydro,0.00,5.45,0.00,0,0,-5.45,0.00%
Manipur,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Manipur,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Manipur,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2019,Biomass,0.00,0.00,142.00,0,0,142.00,0.00%
Meghalaya,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Meghalaya,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Meghalaya,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2020,Biomass,0.00,0.00,142.00,0,0,142.00,0.00%
Mizoram,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Mizoram,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Mizoram,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2008,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2009,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Odisha,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Odisha,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2010,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2009,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2009,Solar,0.00,0.02,0.00,0,0,-0.02,0.00%
Puducherry,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2011,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Punjab,2009,Waste,0.00,9.25,0.00,0,0,-9.25,0.00%
Punjab,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2012,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Rajasthan,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2013,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2014,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Tamil Nadu,2009,Waste,0.00,4.25,0.00,0,0,-4.25,0.00%
Himachal Pradesh,2015,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2009,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2016,Biomass,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2009,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2017,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Tripura,2009,Solar,0.00,0.00,0.00,0,0,0,0.00%
Tripura,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Tripura,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2018,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Uttar Pradesh,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2019,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Uttarakhand,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
Uttarakhand,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2020,Biomass,0.00,0.00,0.00,0,0,0,0.00%
West Bengal,2009,Waste,0.00,0.00,0.00,0,0,0,0.00%
West Bengal,2009,Wind,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2020,Biomass,0.00,7.20,0.00,0,0,-7.20,0.00%
Andaman And Nicobar Islands,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Andaman And Nicobar Islands,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2015,Biomass,0.00,0.00,43.00,0,0,43.00,0.00%
Jammu And Kashmir,2017,Biomass,0.00,0.00,43.00,0,0,43.00,0.00%
Arunachal Pradesh,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Arunachal Pradesh,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2018,Biomass,0.00,0.00,43.00,0,0,43.00,0.00%
Assam,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Assam,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Assam,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2019,Biomass,0.00,0.00,43.00,0,0,43.00,0.00%
Bihar,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Bihar,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Bihar,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2020,Biomass,0.00,0.00,43.00,0,0,43.00,0.00%
Chandigarh,2010,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Chandigarh,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2008,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Chhattisgarh,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Chhattisgarh,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Chhattisgarh,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2009,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2010,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Delhi,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2010,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Goa,2010,Small Hydro,0.00,0.05,0.00,0,0,-0.05,0.00%
Goa,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Goa,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Goa,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2011,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2012,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Haryana,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2013,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Himachal Pradesh,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2014,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2015,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2010,Small Hydro,0.00,4.05,0.00,0,0,-4.05,0.00%
Jharkhand,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2016,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Karnataka,2010,Waste,0.00,1.00,0.00,0,0,-1.00,0.00%
Jammu And Kashmir,2017,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Kerala,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2018,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Ladakh,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2019,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2010,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Lakshadweep,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jammu And Kashmir,2020,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2018,Biomass,0.00,0.00,107.00,0,0,107.00,0.00%
Maharashtra,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2015,Biomass,0.00,0.00,90.00,0,0,90.00,0.00%
Manipur,2010,Small Hydro,0.00,5.45,0.00,0,0,-5.45,0.00%
Manipur,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Manipur,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Manipur,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2017,Biomass,0.00,0.00,90.00,0,0,90.00,0.00%
Meghalaya,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Meghalaya,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Meghalaya,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2019,Biomass,0.00,0.00,90.00,0,0,90.00,0.00%
Mizoram,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Mizoram,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Mizoram,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2020,Biomass,0.00,0.00,90.00,0,0,90.00,0.00%
Nagaland,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Nagaland,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2008,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Odisha,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Odisha,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Odisha,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2009,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2010,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2010,Solar,0.00,0.03,0.00,0,0,-0.03,0.00%
Puducherry,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Puducherry,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2010,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Punjab,2010,Waste,0.00,9.25,0.00,0,0,-9.25,0.00%
Punjab,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2011,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Rajasthan,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2012,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Sikkim,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2013,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Tamil Nadu,2010,Waste,0.00,5.65,0.00,0,0,-5.65,0.00%
Jharkhand,2014,Biomass,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2010,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
Telangana,2010,Wind,0.00,0.00,0.00,0,0,0,0.00%
Jharkhand,2015,Biomass,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2010,Small Hydro,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2010,Solar,0.00,0.00,0.00,0,0,0,0.00%
The Dadra And Nagar Haveli And Daman And Diu,2010,Waste,0.00,0.00,0.00,0,0,0,0.00%
