Country,State,Year,Region-Wise Installation Of Electricity,"Energy Value Type (Potential, Capacity, Generation)",Types Of Energy Sources,Nature Of Energy Sources,"Types Of Usage (Utility ,Captive)",Type Of Energy Sector,"Values For Renewable Electricity (UOM:MW(MegaWatt)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",ER,Capacity,SMALL HYDRO,,,,5.25
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",ER,Capacity,SOLAR,,,,12.19
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",ER,Potential,SMALL HYDRO,RENEWABLE,,,7.27
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",ER,Potential,WIND,RENEWABLE,,,1277
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,UTILITY,STATE,96.19
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,5.704
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,11.598
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Capacity,COGENERATION-BAGASSE,,,,477.18
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Capacity,SMALL HYDRO,,,,162.11
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Capacity,SOLAR,,,,3610.02
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Capacity,WASTE,,,,23.16
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Capacity,WIND,,,,4092.45
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Potential,BIOMASS,RENEWABLE,,,578
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Potential,COGENERATION-BAGASSE,RENEWABLE,,,300
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Potential,SMALL HYDRO,RENEWABLE,,,409
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Potential,SOLAR,RENEWABLE,,,38440
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Potential,WASTE,RENEWABLE,,,123
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Potential,WIND,RENEWABLE,,,74906
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,205.959
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,9460.544
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,UTILITY,CENTRAL,10649.71
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,UTILITY,PRIVATE,21667.98
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,UTILITY,STATE,24598.38
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,76.429
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,5.384
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,3013.43
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,995.56
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,PRIVATE,2357.46
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,656.16
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,7.31
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,298.186
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,21.441
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,5855.114
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,27.321
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,7626.63
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",NER,Capacity,SMALL HYDRO,,,,131.105
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",NER,Capacity,SOLAR,,,,5.61
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",NER,Potential,BIOMASS,RENEWABLE,,,8
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",NER,Potential,SMALL HYDRO,RENEWABLE,,,2065
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",NER,Potential,SOLAR,RENEWABLE,,,8650
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",NER,Potential,WIND,RENEWABLE,,,274
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,1786.46
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,0.636
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,1.598
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
India,Assam,"Financial Year (Apr - Mar), 2020",NER,Capacity,SMALL HYDRO,,,,34.11
India,Assam,"Financial Year (Apr - Mar), 2020",NER,Capacity,SOLAR,,,,41.23
India,Assam,"Financial Year (Apr - Mar), 2020",NER,Potential,BIOMASS,RENEWABLE,,,212
India,Assam,"Financial Year (Apr - Mar), 2020",NER,Potential,SMALL HYDRO,RENEWABLE,,,202
India,Assam,"Financial Year (Apr - Mar), 2020",NER,Potential,SOLAR,RENEWABLE,,,13760
India,Assam,"Financial Year (Apr - Mar), 2020",NER,Potential,WASTE,RENEWABLE,,,8
India,Assam,"Financial Year (Apr - Mar), 2020",NER,Potential,WIND,RENEWABLE,,,246
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,445.046
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,UTILITY,CENTRAL,3929.96
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,6.352
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,907.38
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,384.3
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,977.228
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,CENTRAL,1704.12
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,1104.61
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,52.624
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,3.409
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,6.136
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
India,Assam,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
India,Bihar,"Financial Year (Apr - Mar), 2020",ER,Capacity,COGENERATION-BAGASSE,,,,121.2
India,Bihar,"Financial Year (Apr - Mar), 2020",ER,Capacity,SMALL HYDRO,,,,70.7
India,Bihar,"Financial Year (Apr - Mar), 2020",ER,Capacity,SOLAR,,,,151.57
India,Bihar,"Financial Year (Apr - Mar), 2020",ER,Potential,BIOMASS,RENEWABLE,,,619
India,Bihar,"Financial Year (Apr - Mar), 2020",ER,Potential,COGENERATION-BAGASSE,RENEWABLE,,,300
India,Bihar,"Financial Year (Apr - Mar), 2020",ER,Potential,SMALL HYDRO,RENEWABLE,,,527
India,Bihar,"Financial Year (Apr - Mar), 2020",ER,Potential,SOLAR,RENEWABLE,,,11200
India,Bihar,"Financial Year (Apr - Mar), 2020",ER,Potential,WASTE,RENEWABLE,,,73
India,Bihar,"Financial Year (Apr - Mar), 2020",ER,Potential,WIND,RENEWABLE,,,3650
India,Bihar,"Financial Year (Apr - Mar), 2020",,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,179.537
India,Bihar,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,327.79
India,Bihar,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,UTILITY,CENTRAL,35360.76
India,Bihar,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,1.188
India,Bihar,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Bihar,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,298.86
India,Bihar,"Financial Year (Apr - Mar), 2020",,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
India,Bihar,"Financial Year (Apr - Mar), 2020",,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,18.977
India,Bihar,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0.99
India,Bihar,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,160.165
India,Bihar,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
India,Bihar,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",NR,Capacity,SOLAR,,,,40.55
India,Chandigarh,"Financial Year (Apr - Mar), 2020",NR,Potential,WASTE,RENEWABLE,,,6
India,Chandigarh,"Financial Year (Apr - Mar), 2020",,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.182
India,Chandigarh,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.259
India,Chandigarh,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,1.246
India,Chandigarh,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,13.334
India,Chandigarh,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WR,Capacity,COGENERATION-BAGASSE,,,,244.5
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WR,Capacity,SMALL HYDRO,,,,76
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WR,Capacity,SOLAR,,,,231.35
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WR,Potential,BIOMASS,RENEWABLE,,,236
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WR,Potential,SMALL HYDRO,RENEWABLE,,,1098
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WR,Potential,SOLAR,RENEWABLE,,,18270
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WR,Potential,WASTE,RENEWABLE,,,24
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WR,Potential,WIND,RENEWABLE,,,348
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,679.704
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,31366.263
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,UTILITY,CENTRAL,47821.87
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,UTILITY,PRIVATE,51957.87
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,UTILITY,STATE,18212.53
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,25.278
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,70
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,236.79
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,257.23
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,101.752
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,63.275
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,326.417
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
India,Delhi,"Financial Year (Apr - Mar), 2020",NR,Capacity,SOLAR,,,,165.16
India,Delhi,"Financial Year (Apr - Mar), 2020",NR,Capacity,WASTE,,,,52
India,Delhi,"Financial Year (Apr - Mar), 2020",NR,Potential,SOLAR,RENEWABLE,,,2050
India,Delhi,"Financial Year (Apr - Mar), 2020",NR,Potential,WASTE,RENEWABLE,,,131
India,Delhi,"Financial Year (Apr - Mar), 2020",,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
India,Delhi,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Delhi,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.703
India,Delhi,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Delhi,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Delhi,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,6015.11
India,Delhi,"Financial Year (Apr - Mar), 2020",,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,287.388
India,Delhi,"Financial Year (Apr - Mar), 2020",,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,0
India,Delhi,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0.234
India,Delhi,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,136.304
India,Delhi,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
India,Delhi,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
India,Goa,"Financial Year (Apr - Mar), 2020",WR,Capacity,SMALL HYDRO,,,,0.05
India,Goa,"Financial Year (Apr - Mar), 2020",WR,Capacity,SOLAR,,,,4.78
India,Goa,"Financial Year (Apr - Mar), 2020",WR,Capacity,WASTE,,,,0.34
India,Goa,"Financial Year (Apr - Mar), 2020",WR,Potential,BIOMASS,RENEWABLE,,,26
India,Goa,"Financial Year (Apr - Mar), 2020",WR,Potential,SMALL HYDRO,RENEWABLE,,,5
India,Goa,"Financial Year (Apr - Mar), 2020",WR,Potential,SOLAR,RENEWABLE,,,880
India,Goa,"Financial Year (Apr - Mar), 2020",WR,Potential,WIND,RENEWABLE,,,8
India,Goa,"Financial Year (Apr - Mar), 2020",,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
India,Goa,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,76.4
India,Goa,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,3.843
India,Goa,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Goa,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,450.16
India,Goa,"Financial Year (Apr - Mar), 2020",,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
India,Goa,"Financial Year (Apr - Mar), 2020",,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,0
India,Goa,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
India,Goa,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0.82
India,Goa,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
India,Goa,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",WR,Capacity,COGENERATION-BAGASSE,,,,77.3
India,Gujarat,"Financial Year (Apr - Mar), 2020",WR,Capacity,SMALL HYDRO,,,,68.95
India,Gujarat,"Financial Year (Apr - Mar), 2020",WR,Capacity,SOLAR,,,,2948.37
India,Gujarat,"Financial Year (Apr - Mar), 2020",WR,Capacity,WIND,,,,7491.52
India,Gujarat,"Financial Year (Apr - Mar), 2020",WR,Potential,BIOMASS,RENEWABLE,,,1221
India,Gujarat,"Financial Year (Apr - Mar), 2020",WR,Potential,COGENERATION-BAGASSE,RENEWABLE,,,350
India,Gujarat,"Financial Year (Apr - Mar), 2020",WR,Potential,SMALL HYDRO,RENEWABLE,,,202
India,Gujarat,"Financial Year (Apr - Mar), 2020",WR,Potential,SOLAR,RENEWABLE,,,35770
India,Gujarat,"Financial Year (Apr - Mar), 2020",WR,Potential,WASTE,RENEWABLE,,,112
India,Gujarat,"Financial Year (Apr - Mar), 2020",WR,Potential,WIND,RENEWABLE,,,142560
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,122.974
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,13552.758
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,UTILITY,PRIVATE,66588.06
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,UTILITY,STATE,18002.56
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,121.753
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,3.5
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,5414.68
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,8387.859
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,CENTRAL,1818.97
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,PRIVATE,8945.99
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,2750.46
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,NUCLEAR,NON-RENEWABLE,UTILITY,CENTRAL,3428.6
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,18.766
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,194.798
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,75.143
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,3631.856
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,1467.741
India,Gujarat,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,13748.528
India,Haryana,"Financial Year (Apr - Mar), 2020",NR,Capacity,COGENERATION-BAGASSE,,,,205.66
India,Haryana,"Financial Year (Apr - Mar), 2020",NR,Capacity,SMALL HYDRO,,,,73.5
India,Haryana,"Financial Year (Apr - Mar), 2020",NR,Capacity,SOLAR,,,,252.14
India,Haryana,"Financial Year (Apr - Mar), 2020",NR,Potential,BIOMASS,RENEWABLE,,,1333
India,Haryana,"Financial Year (Apr - Mar), 2020",NR,Potential,COGENERATION-BAGASSE,RENEWABLE,,,350
India,Haryana,"Financial Year (Apr - Mar), 2020",NR,Potential,SMALL HYDRO,RENEWABLE,,,107
India,Haryana,"Financial Year (Apr - Mar), 2020",NR,Potential,SOLAR,RENEWABLE,,,4560
India,Haryana,"Financial Year (Apr - Mar), 2020",NR,Potential,WASTE,RENEWABLE,,,24
India,Haryana,"Financial Year (Apr - Mar), 2020",NR,Potential,WIND,RENEWABLE,,,419
India,Haryana,"Financial Year (Apr - Mar), 2020",,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,281.467
India,Haryana,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,1115.435
India,Haryana,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,UTILITY,CENTRAL,3842.82
India,Haryana,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,UTILITY,PRIVATE,5888.87
India,Haryana,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,UTILITY,STATE,7030.16
India,Haryana,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,139.986
India,Haryana,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
